Step,Value
0,0.0
1,0.33233632436025257
2,1.5270167563935328
3,3.726014774522984
4,7.016326544488639
5,11.463357107520899
6,17.1202681687568
7,24.032198377578293
8,32.23857103910453
9,41.774506974790356
10,52.67175780861131
11,64.9593573314934
12,78.66409553023617
13,93.81087512282589
14,110.42298697314641
15,128.52232758630205
16,148.12957408029771
17,169.2643271929345
18,191.94522977101542
19,216.19006612212985
20,242.0158461982162
21,269.4388775933441
22,298.47482763340423
23,329.1387773225391
24,361.4452685316477
25,395.4083455292206
26,431.0415917376895
27,468.3581624311252
28,507.37081395964924
29,548.0919299831426
30,590.533545115101
31,634.7073663119127
32,680.6247922897977
33,728.2969312084329
34,777.7346168248151
35,828.9484232916216
36,881.9486787499734
37,936.7454778461588
38,993.3486932847633
39,1051.767986516207
40,1112.0128176444257
41,1174.0924546299755
42,1238.0159818548875
43,1303.7923081079002
44,1371.4301740420603
45,1440.938159150917
46,1512.3246883045447
47,1585.5980378822562
48,1660.766341535061
49,1737.8375956075633
50,1816.81966424606
51,1897.720284216984
52,1980.5470694575504
53,2065.3075153784034
54,2152.009002936271
55,2240.6588024929874
56,2331.2640774758233
57,2423.8318878527552
58,2518.369193435144
59,2614.8828570192595
60,2713.379647377136
61,2813.866242106405
62,2916.349230347979
63,3020.835115379763
64,3127.330317093957
65,3235.841174364922
66,3346.3739473140627
67,3458.934819477726
68,3573.5298998836583
69,3690.165225041183
70,3808.846760849887
71,3929.5804044312827
72,4052.371985887612
73,4177.227269991655
74,4304.151957811177
75,4433.1516882713995
76,4564.232039658648
77,4697.398531068166
78,4832.656623798843
79,4970.011722697486
80,5109.469177455078
81,5251.034283857306
82,5394.712284991537
83,5540.508372412272
84,5688.427687266994
85,5838.475321384197
86,5990.65631832533
87,6144.975674402243
88,6301.438339661649
89,6460.049218838045
90,6620.8131722764565
91,6783.735016826261
92,6948.819526707336
93,7116.071434349666
94,7285.495431207497
95,7457.096168549098
96,7630.878258223076
97,7806.846273402202
98,7985.004749305644
99,8165.358183900411
100,8347.911038582859
101,8532.667738840979
102,8719.632674898223
103,8908.81020233955
104,9100.204642720348
105,9293.82028415886
106,9489.661381912745
107,9687.732158940276
108,9888.036806446818
109,10090.579484417021
110,10295.364322133284
111,10502.395418680942
112,10711.676843440637
113,10923.212636568316
114,11137.006809463273
115,11353.06334522463
116,11571.386199096642
117,11791.979298903198
118,12014.846545471883
119,12239.991813047895
120,12467.418949698207
121,12697.13177770622
122,12929.134093957267
123,13163.429670315201
124,13400.022253990372
125,13638.915567899268
126,13880.113311016048
127,14123.619158716227
128,14369.43676311274
129,14617.569753384652
130,14868.021736098643
131,15120.7962955236
132,15375.896993938397
133,15633.327371933156
134,15893.09094870412
135,16155.191222342333
136,16419.631670116312
137,16686.415748748877
138,16955.546894688287
139,17227.028524373854
140,17500.8640344962
141,17777.056802252257
142,18055.610185595193
143,18336.527523479406
144,18619.812136100674
145,18905.467325131634
146,19193.496373952683
147,19483.902547878435
148,19776.689094379868
149,20071.85924330221
150,20369.41620707874
151,20669.36318094059
152,20971.703343122605
153,21276.439855065455
154,21583.575861613965
155,21893.114491211873
156,22205.058856093023
157,22519.41205246917
158,22836.17716071434
159,23155.357245545958
160,23476.955356202816
161,23800.974526619797
162,24127.417775599686
163,24456.288106981883
164,24787.588509808294
165,25121.321958486325
166,25457.491412949115
167,25796.099818813072
168,26137.150107532743
169,26480.64519655309
170,26826.58798945925
171,27174.9813761238
172,27525.828232851607
173,27879.131422522343
174,28234.89379473062
175,28593.118185923926
176,28953.807419538338
177,29316.964306132
178,29682.59164351658
179,30050.692216886586
180,30421.268798946672
181,30794.32415003697
182,31169.861018256448
183,31547.88213958438
184,31928.390237999978
185,32311.388025600125
186,32696.878202715416
187,33084.863458024345
188,33475.34646866587
189,33868.32990035024
190,34263.81640746818
191,34661.80863319847
192,35062.30920961395
193,35465.320757785994
194,35870.84588788738
195,36278.88719929375
196,36689.44728068363
197,37102.528710136874
198,37518.13405523192
199,37936.26587314146
200,38356.92671072689
201,38780.11910463136
202,39205.845581371614
203,39634.108657428435
204,40064.91083933595
205,40498.254623769586
206,40934.14249763298
207,41372.576938143546
208,41813.56041291698
209,42257.095380050574
210,42703.18428820545
211,43151.82957668766
212,43603.03367552825
213,44056.79900556217
214,44513.12797850629
215,44972.02299703624
216,45433.48645486238
217,45897.520736804676
218,46364.12821886665
219,46833.31126830841
220,47305.07224371868
221,47779.41349508597
222,48256.337363868784
223,48735.84618306502
224,49217.942277280374
225,49702.62796279603
226,50189.905547635404
227,50679.77733163008
228,51172.24560648496
229,51667.31265584259
230,52164.980755346674
231,52665.25217270489
232,53168.12916775083
233,53673.613992505285
234,54181.70889123678
235,54692.41610052132
236,55205.737849301455
237,55721.67635894469
238,56240.233843301176
239,56761.412508760644
240,57285.21455430877
241,57811.64217158287
242,58340.69754492686
243,58872.38285144572
244,59406.70026105918
245,59943.65193655489
246,60483.24003364094
247,61025.46670099779
248,61570.33408032961
249,62117.84430641504
250,62667.99950715738
251,63220.80180363417
252,63776.25331014634
253,64334.35613426667
254,64895.11237688776
255,65458.524132269515
